id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,time
61,0.84082,0.312012,0.381836,-2.13415,-3.53659,-9.26829,1.45712E+12
62,0.824463,0.398193,0.362793,11.2195,-11.25,-30.8537,1.45712E+12
63,0.770508,0.485107,0.324951,6.64634,-15.5183,-50.1524,1.45712E+12
64,0.729736,0.519287,0.257568,-9.42073,-12.561,-45.8841,1.45712E+12
65,0.637207,0.750488,0.217773,21.2195,-7.62195,-42.1341,1.45712E+12
66,0.57959,0.802246,0.182617,19.1159,-4.90854,-23.2012,1.45712E+12
67,0.573486,0.847656,0.171631,-0.945122,0.548781,-6.58537,1.45712E+12
68,0.571533,0.811279,0.158691,-1.85976,-0.640244,-4.20732,1.45712E+12
69,0.560547,0.828613,0.169189,0.884146,0.579268,-2.46951,1.45712E+12
70,0.570557,0.82666,0.179199,-4.78659,2.10366,2.43902,1.45712E+12
71,0.568115,0.796875,0.179932,2.07317,0.335366,-1.61585,1.45712E+12
72,0.564453,0.801514,0.188965,-0.548781,1.37195,0.884146,1.45712E+12
73,0.574951,0.798828,0.188965,-0.152439,0.97561,-0.335366,1.45712E+12
74,0.571777,0.800537,0.175781,-0.0304878,1.15854,0.365854,1.45712E+12
75,0.570068,0.789795,0.189697,-0.640244,0.27439,0.213415,1.45712E+12
76,0.572754,0.80249,0.201904,-0.152439,1.95122,-0.426829,1.45712E+12
77,0.584473,0.781494,0.189697,0.731707,0.914634,-0.121951,1.45712E+12
78,0.575684,0.802002,0.174072,0.640244,-0.762195,0.670732,1.45712E+12
79,0.592041,0.782715,0.181396,0.487805,0.518293,0.335366,1.45712E+12
80,0.580566,0.789795,0.183594,-0.70122,1.25,0.670732,1.45712E+12
81,0.588379,0.802979,0.175049,2.68293,0.182927,-0.0609756,1.45712E+12
82,0.586914,0.79126,0.18335,-0.70122,1.28049,0,1.45712E+12
83,0.586182,0.797607,0.186279,4.02439,0.243902,-2.34756,1.45712E+12
84,0.60083,0.793213,0.152832,0.70122,0.548781,-0.365854,1.45712E+12
85,0.583008,0.775146,0.183594,-2.34756,1.31098,-0.213415,1.45712E+12
86,0.587646,0.77002,0.156738,-0.853659,1.4939,0.121951,1.45712E+12
87,0.594482,0.786133,0.178711,-1.31098,1.89024,-0.213415,1.45712E+12
88,0.582031,0.82373,0.163574,-0.365854,0.914634,-3.9939,1.45712E+12
89,0.592041,0.882812,0.118896,-2.37805,6.21951,14.8171,1.45712E+12
90,0.640625,0.78833,0.196777,-18.4451,22.8049,53.5366,1.45712E+12
91,0.722168,0.555908,0.304688,-30.4268,23.2622,64.2378,1.45712E+12
92,0.788574,0.333496,0.432861,-11.9512,16.7988,47.7439,1.45712E+12
93,0.82666,0.270996,0.429932,-9.63415,5.70122,15.2744,1.45712E+12
94,0.826416,0.334473,0.442627,1.03659,4.60366,7.31707,1.45712E+12
95,0.837891,0.283936,0.417236,1.58537,0.518293,3.44512,1.45712E+12
96,0.8396,0.336182,0.453857,1.03659,3.23171,1.40244,1.45712E+12
97,0.849609,0.298828,0.415039,-1.0061,0.792683,1.09756,1.45712E+12
98,0.836182,0.31543,0.426758,2.71341,0.0609756,1.25,1.45712E+12
99,0.84375,0.281982,0.425293,-2.13415,0.304878,-0.365854,1.45712E+12
100,0.833252,0.274658,0.436035,0.884146,0.97561,2.80488,1.45712E+12
